36,100,80
636,360,4
156,196,46
36,104,220
36,108,44
284,320,6
336,340,10
380,600,2
312,300,12
256,192,34
336,344,6
352,472,2
284,324,12
180,132,40
232,152,16
112,32,2
312,304,10
40,20,24
256,196,22
336,348,2
284,328,8
180,136,26
232,156,20
112,36,8
40,24,42
312,308,8
40,28,110
736,368,2
368,200,2
368,204,4
332,160,2
280,140,4
412,312,2
368,208,4
436,356,8
188,500,4
332,164,2
384,336,4
184,80,32
280,144,6
516,508,4
308,672,2
332,168,2
184,84,16
280,148,14
616,500,2
256,656,2
204,484,2
100,292,4
184,88,28
skill\神通降魔89301\神通降魔89301_下层.fsi,,28
468,212,2
108,60,80
580,620,2
36,52,72
108,64,80
580,624,4
36,56,10
484,348,2
108,68,74
212,300,38
988,556,2
304,492,2
184,324,4
236,344,2
132,152,120
436,816,2
212,304,14
716,512,2
236,348,6
304,496,2
132,156,112
332,628,2
212,308,8
204,944,2
36,112,16
36,116,16
268,200,12
416,500,2
336,352,6
284,332,8
180,140,40
268,204,14
232,160,16
112,40,2
312,312,20
352,484,2
284,336,4
180,144,44
268,208,12
232,164,20
312,316,2
40,32,152
112,44,10
736,372,2
684,352,2
352,88,2
180,148,60
232,168,28
40,36,248
112,48,8
84,100,212
84,104,286
84,108,370
368,212,4
436,360,6
488,532,2
360,300,2
368,216,2
436,364,2
280,152,10
360,304,8
384,348,2
184,92,22
280,156,12
436,368,4
412,328,2
360,308,46
984,836,2
184,96,54
112,304,4
812,348,4
112,308,2
588,540,2
36,60,10
108,72,84
536,376,4
168,200,26
108,76,56
36,64,26
36,68,6
236,352,4
168,204,28
132,160,242
212,312,4
236,356,2
168,208,36
132,164,174
212,316,8
132,168,102
568,228,2
36,120,6
36,124,4
36,128,10
336,360,6
284,340,6
268,212,16
260,300,6
416,512,2
312,320,4
336,364,4
284,344,6
180,152,62
268,216,22
232,172,26
260,304,2
312,324,4
40,40,5350
112,52,20
736,380,4
336,368,6
284,348,6
180,156,142
232,176,54
256,56,2
260,308,24
40,44,168
312,328,10
112,56,50
660,324,4
40,48,106
84,112,402
712,348,4
84,116,384
368,220,2
516,520,2
464,500,2
488,544,2
436,372,60
332,180,2
280,160,20
464,504,2
360,312,6
368,228,2
436,376,8
280,164,6
384,356,2
464,508,2
412,336,4
280,168,12
136,356,2
112,316,2
536,380,2
484,360,2
512,336,2
108,80,60
380,172,2
432,192,2
468,236,2
536,384,2
108,84,82
36,72,16
356,680,2
36,76,32
108,88,114
236,360,6
168,212,66
316,512,38
212,320,14
460,328,2
236,364,4
184,344,2
132,172,158
168,216,44
160,304,4
212,324,8
612,340,2
132,176,78
184,348,6
236,368,6
212,328,4
160,308,4
716,536,4
36,132,54
584,372,4
268,220,22
268,224,20
284,352,6
336,372,8
232,180,24
180,160,56
416,524,2
312,332,4
112,60,100
260,312,6
232,184,36
336,376,4
284,356,8
180,164,70
268,228,26
312,336,6
40,52,53
112,64,120
260,316,2
232,188,54
180,168,56
256,68,2
40,56,52
112,68,70
84,120,442
84,124,376
84,128,354
368,232,2
436,380,2
384,360,4
412,340,2
436,384,2
332,192,2
384,364,6
280,172,12
984,852,2
384,368,2
280,176,8
436,388,2
360,328,4
260,40,2
512,344,2
588,560,2
536,392,2
108,92,118
36,80,36
988,580,2
468,248,2
588,568,4
36,84,60
108,96,104
168,220,48
460,336,2
580,656,2
236,372,2
36,88,50
168,224,22
132,180,56
212,332,8
skill\四海升平89307\四海升平89307.fsi,,38
168,228,22
132,184,56
160,316,2
212,336,6
316,528,2
132,188,80
716,548,2
36,148,2
336,380,2
584,388,2
268,232,12
260,320,4
312,340,2
284,364,4
180,172,110
336,384,4
268,236,20
232,192,50
364,516,2
312,344,2
40,60,26
260,324,4
112,72,82
88,20,50
284,368,2
180,176,70
232,196,28
256,76,2
260,328,2
40,64,78
312,348,10
112,76,90
88,24,20
40,68,62
88,28,12
84,132,380
84,136,424
368,240,8
1368,916,2
344,200,8
368,244,2
384,372,2
280,180,10
436,392,2
360,332,2
436,396,2
280,184,22
344,208,2
280,188,14
232,652,2
460,340,2
468,256,2
380,192,2
36,92,74
484,388,2
236,380,4
168,232,24
36,96,26
212,340,2
236,384,4
168,236,8
132,192,62
316,536,2
612,360,2
544,212,2
132,196,60
212,348,4
160,328,2
544,216,2
88,324,2
584,392,4
584,396,2
268,240,20
364,520,6
244,200,14
284,372,4
268,244,10
336,392,2
180,180,54
364,524,6
260,332,8
244,204,12
112,80,86
748,412,4
180,184,44
268,248,38
312,356,2
244,208,16
112,84,62
40,72,50
88,32,36
180,188,64
112,88,80
40,76,28
88,36,20
84,140,306
60,100,240
740,508,2
84,144,194
60,104,166
84,148,242
368,252,4
60,108,138
516,552,2
344,212,6
360,340,4
412,360,2
728,100,2
36,616,2
368,256,2
384,384,2
280,192,18
464,536,2
344,216,4
728,104,2
384,388,6
280,196,16
360,348,4
412,368,4
548,400,2
548,404,4
468,260,6
548,408,2
260,68,2
468,264,18
512,368,2
468,268,8
168,240,14
144,200,34
168,244,14
212,352,12
144,204,26
236,396,2
168,248,22
280,656,2
212,356,16
144,208,32
348,400,2
36,168,6
268,252,6
284,380,10
260,340,2
348,404,2
244,212,20
680,1036,2
284,384,4
180,192,30
268,256,10
312,364,4
244,216,12
112,92,98
40,80,74
88,40,18
180,196,46
312,368,2
256,96,2
260,348,4
112,96,190
40,84,88
88,44,24
40,88,142
88,48,42
84,152,122
60,112,202
84,156,184
36,620,2
368,260,10
60,116,176
516,560,2
344,220,2
464,540,2
292,200,6
368,264,2
384,392,2
464,544,2
360,352,8
344,224,6
292,204,8
384,396,2
344,228,4
516,568,2
360,356,6
292,208,10
412,376,8
392,200,4
444,220,2
548,412,2
260,72,4
164,32,2
392,204,2
444,224,2
548,416,2
468,272,2
392,208,2
92,24,14
444,228,2
512,376,2
468,276,2
92,28,24
248,400,2
460,364,2
168,252,14
144,212,14
948,448,2
168,256,4
212,364,2
248,408,2
144,216,12
596,404,2
212,368,2
568,276,2
596,408,4
64,300,2
64,308,2
348,412,4
192,200,38
244,220,22
340,500,8
268,264,12
284,392,2
312,372,4
348,416,2
260,352,6
244,224,14
192,204,22
284,396,4
268,268,12
416,568,2
312,376,6
40,92,92
192,208,36
244,228,10
88,52,56
40,96,36
84,160,140
88,56,24
592,228,2
660,376,2
60,120,266
84,164,156
60,124,266
396,400,4
84,168,80
60,128,234
360,360,2
396,404,2
292,212,10
368,276,4
396,408,2
344,236,2
360,364,4
292,216,10
148,404,2
360,368,4
412,388,4
548,424,2
112,368,2
468,280,4
92,32,10
512,384,2
444,236,4
260,88,2
468,284,2
164,48,2
92,36,26
328,52,2
776,112,4
948,452,2
468,288,2
168,260,6
708,1020,2
144,220,26
168,264,4
144,224,16
568,280,2
716,580,2
596,412,2
168,268,6
144,228,12
568,284,2
716,584,2
612,392,4
596,416,2
560,372,2
36,180,2
560,376,2
36,184,2
12,144,2
296,400,4
348,420,6
228,100,6
268,272,14
296,404,2
312,380,4
228,104,10
192,212,18
244,232,22
268,276,10
312,384,6
348,428,10
244,236,24
228,108,12
192,216,18
1512,1236,2
88,60,80
260,368,2
312,388,8
88,64,76
88,68,118
84,172,76
328,104,2
60,132,98
84,176,102
60,136,108
464,560,2
344,240,4
292,220,12
368,284,4
412,392,2
344,244,2
396,416,2
360,372,4
292,224,6
368,288,36
960,860,2
360,376,4
292,228,8
140,500,34
392,220,8
188,588,8
112,376,2
392,224,2
92,40,6
420,204,2
392,228,2
164,56,14
92,44,18
328,60,2
420,208,2
32,464,2
468,296,4
92,48,16
128,100,146
16,12,26
168,272,4
196,404,2
460,388,4
248,424,10
144,232,10
128,104,156
16,16,110
168,276,2
248,428,2
144,236,18
128,108,190
544,252,2
560,380,4
596,424,2
624,404,2
64,320,2
560,384,16
268,280,12
348,432,12
228,112,2
192,220,30
244,240,18
268,284,8
296,416,2
244,244,20
348,436,4
260,372,4
312,392,6
192,224,28
228,116,2
1512,1244,2
268,288,8
260,376,16
416,588,2
244,248,12
312,396,2
192,228,18
88,72,116
88,76,132
84,180,64
328,112,2
60,140,84
320,200,2
84,184,36
60,144,50
276,100,2
84,188,52
368,292,2
60,148,76
396,424,4
276,104,2
320,208,2
344,252,4
292,232,10
396,428,6
344,256,2
276,108,8
360,384,2
188,592,2
